date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,3.6,1.7,5,0,0,264.6,17.3,,1008.2,
2020-01-02,4.7,0.6,8.9,0,0,218.2,12.4,,1013.9,
2020-01-03,7.6,6.7,8.3,2.8,0,235.5,8.4,,1010.2,
2020-01-04,8.2,6.7,9.4,5.3,0,325.2,5.7,,1003.7,
2020-01-05,4.6,2.8,7.2,0,0,300.1,8.2,,1010.1,
2020-01-06,2.7,-0.5,7.8,0.8,30,239.2,16.6,,1014.4,
2020-01-07,4.7,3.3,6.7,0,0,286,10.4,,1016.2,
2020-01-08,2.6,-0.6,6.7,0,0,269.5,13.4,,1016.6,
2020-01-09,-0.6,-3.3,2.2,0,0,272.3,9.1,,1038.8,
2020-01-10,6.4,1.1,11.7,0,0,265.6,14.5,,1034.5,
2020-01-11,14.2,8.9,21.1,0,0,192.7,19.8,,1022.6,
2020-01-12,15.7,9.4,19.4,1,0,247.8,15.5,,1018.1,
2020-01-13,6.1,1.7,7.8,0,0,13.4,10.4,,1029,
2020-01-14,6.3,5,7.8,0.5,0,55,9.9,,1025.3,
2020-01-15,8.2,6.1,11.7,0,0,269.4,9,,1020.9,
2020-01-16,6.7,2.2,10,1.3,0,274.6,10.6,,1015.1,
2020-01-17,-1.2,-3.9,2.2,0,0,321.2,8.8,,1034.7,
2020-01-18,-2.2,-5,2.8,7.9,0,187.3,10.2,,1028.5,
2020-01-19,4,0.6,7.2,0,0,269.1,10.2,,1008.9,
2020-01-20,-1.7,-5,2.8,0,0,328.4,9.1,,1024.2,
2020-01-21,-1.5,-4.4,3.3,0,0,323.7,8.9,,1030.8,
2020-01-22,1,-2.2,5.6,0,0,286.8,8.1,,1031.3,
2020-01-23,3.5,0,7.2,0,0,227.1,7.5,,1029.4,
2020-01-24,6.5,3.3,11.7,0,0,42.4,10.6,,1027.4,
2020-01-25,6.6,4.4,10,22.4,0,64.4,22.9,,1014.5,
2020-01-26,5.5,3.3,8.9,0,0,250.8,14.9,,1009.3,
2020-01-27,4.2,0,8.3,0,0,257.1,19.4,,1006.3,
2020-01-28,4.9,3.9,7.2,0,0,306.3,6.3,,1010.2,
2020-01-29,3.5,1.1,7.2,0,0,341.6,7.8,,1018.2,
2020-01-30,1.3,-1.7,4.4,0,0,42.1,10.7,,1026.3,
2020-01-31,4.3,2.2,6.1,0.5,0,52.8,7.5,,1026,
